Tourists,Date
0.302,2013-01-01
0.363,2013-02-01
0.556,2013-03-01
0.702,2013-04-01
0.935,2013-05-01
0.903,2013-06-01
1.01,2013-07-01
1.14,2013-08-01
1.03,2013-09-01
0.865,2013-10-01
0.459,2013-11-01
0.358,2013-12-01
0.346,2014-01-01
0.409,2014-02-01
0.601,2014-03-01
0.886,2014-04-01
1.08,2014-05-01
1.02,2014-06-01
1.12,2014-07-01
1.3,2014-08-01
1.16,2014-09-01
1.01,2014-10-01
0.534,2014-11-01
0.422,2014-12-01
0.419,2015-01-01
0.465,2015-02-01
0.668,2015-03-01
0.968,2015-04-01
1.19,2015-05-01
1.15,2015-06-01
1.25,2015-07-01
1.42,2015-08-01
1.32,2015-09-01
1.14,2015-10-01
0.578,2015-11-01
0.478,2015-12-01
0.455,2016-01-01
0.554,2016-02-01
0.831,2016-03-01
1.02,2016-04-01
1.32,2016-05-01
1.29,2016-06-01
1.44,2016-07-01
1.58,2016-08-01
1.46,2016-09-01
1.31,2016-10-01
0.705,2016-11-01
0.559,2016-12-01
0.581,2017-01-01
0.643,2017-02-01
0.899,2017-03-01
1.33,2017-04-01
1.49,2017-05-01
1.52,2017-06-01
1.61,2017-07-01
1.77,2017-08-01
1.69,2017-09-01
1.51,2017-10-01
0.833,2017-11-01
0.652,2017-12-01
0.624,2018-01-01
0.704,2018-02-01
1.05,2018-03-01
1.31,2018-04-01
1.6,2018-05-01
1.56,2018-06-01
1.67,2018-07-01
1.85,2018-08-01
1.73,2018-09-01
1.53,2018-10-01
0.894,2018-11-01
0.702,2018-12-01
0.687,2019-01-01
0.763,2019-02-01
1.07,2019-03-01
1.45,2019-04-01
1.73,2019-05-01
1.69,2019-06-01
1.78,2019-07-01
1.97,2019-08-01
1.85,2019-09-01
1.65,2019-10-01
0.978,2019-11-01
0.802,2019-12-01
0.758,2020-01-01
0.806,2020-02-01
0.388,2020-03-01
0.00536,2020-04-01
0.0126,2020-05-01
0.0499,2020-06-01
0.278,2020-07-01
0.566,2020-08-01
0.471,2020-09-01
0.351,2020-10-01
0.11,2020-11-01
0.109,2020-12-01
0.0724,2021-01-01
0.0293,2021-02-01
0.0444,2021-03-01
0.082,2021-04-01
0.274,2021-05-01
0.446,2021-06-01
0.597,2021-07-01
1.04,2021-08-01
0.974,2021-09-01
1.14,2021-10-01
0.749,2021-11-01
0.471,2021-12-01
0.347,2022-01-01
0.571,2022-02-01
0.863,2022-03-01
1.36,2022-04-01
1.58,2022-05-01
1.58,2022-06-01
1.83,2022-07-01
1.96,2022-08-01
1.78,2022-09-01
1.66,2022-10-01
0.991,2022-11-01
0.793,2022-12-01
0.769,2023-01-01
0.874,2023-02-01
1.22,2023-03-01
1.67,2023-04-01
1.88,2023-05-01
1.79,2023-06-01
1.94,2023-07-01
2.16,2023-08-01
2.04,2023-09-01
1.9,2023-10-01
1.13,2023-11-01
0.88,2023-12-01
0.802,2024-01-01
0.965,2024-02-01
1.4,2024-03-01
1.67,2024-04-01
2.06,2024-05-01
1.91,2024-06-01
2.03,2024-07-01
2.27,2024-08-01
2.14,2024-09-01
1.97,2024-10-01
1.22,2024-11-01
0.935,2024-12-01
0.857,2025-01-01
0.956,2025-02-01
1.36,2025-03-01
1.8,2025-04-01
2.1,2025-05-01
1.97,2025-06-01
2.11,2025-07-01
